arm,config,dataset,n_train,epochs,n_steps,n_params,spearman,spearman_far,spearman_mid,spearman_high,auroc,map10,rmse_high,train_loss_online,train_mse_final,spearman_sd,spearman_far_sd,spearman_mid_sd,spearman_high_sd,auroc_sd,map10_sd,rmse_high_sd,train_loss_online_sd,train_mse_final_sd
N-no-pooling,flatten,SS,30000.0,30.0,7050.0,1648512.0,0.8016702177538301,0.2530296623882645,0.5004251447684505,0.7003389978480182,0.9242633160527624,0.31521416578887124,0.152062516179436,0.00038180820217563043,0.0003783196428583728,0.08014734626514458,0.3155428400994352,0.09469086019027136,0.1981829404457505,0.09586955151950603,0.053065881740913104,0.11215807827226651,1.4784143719731692e-05,1.392629767459147e-05
N-no-pooling,flatten,Synth,30000.0,30.0,7050.0,1648512.0,0.8466408843206633,-0.14330504503934818,0.3516041349592978,0.701709975244064,0.9247683702950084,0.7241915848866056,0.15625594262078893,0.00038180820217563043,0.0003783196428583728,0.01636057880101151,0.05485452325728066,0.034646186564525214,0.027818082842742346,0.005526912742202803,0.06548018555877468,0.0045034716036139524,1.4784143719731692e-05,1.392629767459147e-05
P-pooling-width,K=32,3Di,30000.0,30.0,7050.0,272256.0,0.9278602376200625,0.44134453725446265,0.6448502000851005,0.8800369552746764,0.9899478109756433,0.5277606889875884,0.0484533916071628,0.0016109621453202433,0.0012958184334966871,0.04369216809929099,0.26662949045033707,0.08781787080479396,0.007360614602364269,0.0017486908818815125,0.029009359737734827,0.00570932030524301,4.4098847820497784e-05,3.2936546014659476e-06
P-pooling-width,K=32,AA,30000.0,30.0,7050.0,272256.0,0.1415320912427498,0.12233810599071902,,,0.995981282686485,0.7138888888888889,0.16164190844078216,0.0016109621453202433,0.0012958184334966871,0.01789875002495796,0.011241441796397782,,,0.006246035991403017,0.10551899951790317,0.030336437448558302,4.4098847820497784e-05,3.2936546014659476e-06
P-pooling-width,K=32,SS,30000.0,30.0,7050.0,272256.0,0.9316643841318802,0.5092594602325377,0.6808222195162984,0.8336991136617603,0.9760541180390444,0.43542513703734437,0.06846242472490395,0.0016109621453202433,0.0012958184334966871,0.033088361731782874,0.064662223327964,0.10701361604071259,0.06463296793736345,0.026196146902154167,0.04261333689642791,0.03709329020477677,4.4098847820497784e-05,3.2936546014659476e-06
P-pooling-width,K=32,Synth,30000.0,30.0,7050.0,272256.0,0.9096279601801269,-0.0770767660944242,0.5205771447669055,0.8374412912371185,0.9600407974006518,0.9459330610990362,0.12697428134896047,0.0016109621453202433,0.0012958184334966871,0.0009396743239379705,0.02565046653905157,0.019286426103676483,0.008968952706343347,0.0013530270384749957,0.0015445226050941913,0.004599753399763237,4.4098847820497784e-05,3.2936546014659476e-06
P-pooling-width,K=8,3Di,30000.0,30.0,7050.0,75648.0,0.9590637563729008,0.7238452006063228,0.6858276716263024,0.8697413552845171,0.9892323428967383,0.46201834601204483,0.08030036547390249,0.00344719469141629,0.0030746259305212235,0.006944026072610907,0.03772421484229932,0.04574396749075172,0.01970453457778579,0.0024850928154039327,0.01625245758240631,0.009926551225608536,6.107301591320481e-05,8.352998558809724e-05
P-pooling-width,K=8,AA,30000.0,30.0,7050.0,75648.0,0.3175727076411882,0.2959773905563077,,,1.0,1.0,0.07559016741392749,0.00344719469141629,0.0030746259305212235,0.01831222290129373,0.01750947400536735,,,0.0,0.0,0.020030339613244717,6.107301591320481e-05,8.352998558809724e-05
P-pooling-width,K=8,SS,30000.0,30.0,7050.0,75648.0,0.9667844550003889,0.7658929484296372,0.7912066161983798,0.8215119974045705,0.9860932067658892,0.3142950875527842,0.07547391068372752,0.00344719469141629,0.0030746259305212235,0.012803300035467135,0.1012508291037482,0.05523745923532524,0.026179928731419815,0.006716070311402406,0.008070906356758185,0.012064091362088383,6.107301591320481e-05,8.352998558809724e-05
P-pooling-width,K=8,Synth,30000.0,30.0,7050.0,75648.0,0.9317049307027999,-0.0254977391804725,0.5909903720940914,0.8815738075061884,0.9748158427075072,0.9838711607280072,0.10904070701656947,0.00344719469141629,0.0030746259305212235,0.0009146710072073948,0.01837350808191267,0.006618869533914358,0.011576622530185033,0.001751997664271505,0.0031332984636298473,0.0028736165341559064,6.107301591320481e-05,8.352998558809724e-05
T-train-size,"N=10,000",3Di,10000.0,30.0,2370.0,141184.0,0.9362802617581432,0.5069356666108306,0.6414015823669322,0.844043152814972,0.9888845627175687,0.4905860712307124,0.05854722138083737,0.0006040865884472926,0.00047241856480638184,0.024288398801609098,0.1425723990577974,0.04893479132936286,0.03362077164034165,0.002462783452812629,0.031966853188248004,0.0030307197522779403,6.2002410800047894e-06,2.9142821364779705e-05
T-train-size,"N=10,000",AA,10000.0,30.0,2370.0,141184.0,0.028687432553290895,0.006479749323487371,,,0.9956509771538672,0.6319444444444445,0.14986719138496707,0.0006040865884472926,0.00047241856480638184,0.09640601754241292,0.10048811801942235,,,0.004129920029399548,0.16875428663965628,0.031410229721844415,6.2002410800047894e-06,2.9142821364779705e-05
