arm,config,seed,dataset,protocol_sig,spearman,auroc,map10,rmse_high,n_pairs,n_queries,spearman_far,n_far,spearman_mid,n_mid,spearman_high,n_high,n_train,epochs,n_steps,n_params,train_loss_online,train_mse_final
T-train-size,"N=5,000",1,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9476966229325974,0.982837810281121,0.3946597668530038,0.050257114088969275,4000.0,10002.0,0.701972876934536,1200.0,0.663544598349065,1397.0,0.8382708808454961,1403.0,5000.0,30.0,1200.0,141184.0,0.0003489905279129744,0.0003512651532888412
T-train-size,"N=5,000",1,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,-0.0853761761149228,0.9877786952931462,0.8,0.15159170260933222,1216.0,10.0,-0.10873415149936762,1200.0,,11.0,,5.0,5000.0,30.0,1200.0,141184.0,0.0003489905279129744,0.0003512651532888412
T-train-size,"N=5,000",2,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9071733886044299,0.9570907139205419,0.9389899888032668,0.12921903934983406,3648.0,2410.0,-0.10800920807265639,848.0,0.504557795626927,1595.0,0.8374676024314193,1205.0,5000.0,30.0,1200.0,141184.0,0.0003174461582675576,0.00042458468973636626
T-train-size,"N=5,000",2,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.936004171018317,0.9877254054410771,0.5116926070780538,0.048427420635522585,3699.0,347.0,0.5294398113870046,1200.0,0.5950870075410051,1274.0,0.8664903090972846,1225.0,5000.0,30.0,1200.0,141184.0,0.0003174461582675576,0.00042458468973636626
T-train-size,"N=5,000",2,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.8941989752972823,0.934270064889281,0.3418068837259255,0.10955338548571898,4000.0,10002.0,0.6599996321537603,1200.0,0.5342633775801904,1397.0,0.7472567358989815,1403.0,5000.0,30.0,1200.0,141184.0,0.0003174461582675576,0.00042458468973636626
T-train-size,"N=5,000",2,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,-0.0017140708211316265,0.9973575557390586,0.65,0.16432229983883798,1216.0,10.0,-0.02574596659492986,1200.0,,11.0,,5.0,5000.0,30.0,1200.0,141184.0,0.0003174461582675576,0.00042458468973636626
T-train-size,"N=10,000",0,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9067460814297196,0.9619011384886618,0.9359718105776197,0.117479971488472,3648.0,2410.0,-0.11971789989912265,848.0,0.4882414924799693,1595.0,0.8344743628422566,1205.0,10000.0,30.0,2370.0,141184.0,0.0005972966483794152,0.0004661750286817551
T-train-size,"N=10,000",0,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9457563416288091,0.9879718872189135,0.4787384116310629,0.060908713366147865,3699.0,347.0,0.570540381943964,1200.0,0.6417856891271049,1274.0,0.8574630628607488,1225.0,10000.0,30.0,2370.0,141184.0,0.0005972966483794152,0.0004661750286817551
T-train-size,"N=10,000",0,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9578130038602372,0.9924489329345693,0.4271772996118841,0.07214196919886232,4000.0,10002.0,0.4767143874607397,1200.0,0.7772629309440687,1397.0,0.8519906470559209,1403.0,10000.0,30.0,2370.0,141184.0,0.0005972966483794152,0.0004661750286817551
T-train-size,"N=10,000",0,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.06291563076014439,0.9998348472336911,0.8,0.11887647138378797,1216.0,10.0,0.048314958579673446,1200.0,,11.0,,5.0,10000.0,30.0,2370.0,141184.0,0.0005972966483794152,0.0004661750286817551
T-train-size,"N=10,000",1,Synth,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9044707881379963,0.9567737782435378,0.9348379766844496,0.11611027218792715,3648.0,2410.0,-0.17729947457030987,848.0,0.511695342622818,1595.0,0.8412441138511835,1205.0,10000.0,30.0,2370.0,141184.0,0.0006094476522877812,0.0005041771575808525
T-train-size,"N=10,000",1,3Di,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9086822294986738,0.9870083975384818,0.4662344254064098,0.05960316466462027,3699.0,347.0,0.3436315252543112,1200.0,0.5922758682925356,1274.0,0.8057850473476528,1225.0,10000.0,30.0,2370.0,141184.0,0.0006094476522877812,0.0005041771575808525
T-train-size,"N=10,000",1,SS,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,0.9406547982112147,0.9886301728157743,0.4211690609251543,0.05205590564257591,4000.0,10002.0,0.43999519804132214,1200.0,0.7249331785391059,1397.0,0.8543135052675741,1403.0,10000.0,30.0,2370.0,141184.0,0.0006094476522877812,0.0005041771575808525
T-train-size,"N=10,000",1,AA,v2|K16|len50-200|bs128|lr0.001|ntrain30000|ep30|pair999|syn20260810|strat200000x400|rng0.3-0.7,-0.08016239052952291,0.9915772089182494,0.4625,0.18168076165921795,1216.0,10.0,-0.10816737740385515,1200.0,,11.0,,5.0,10000.0,30.0,2370.0,141184.0,0.0006094476522877812,0.0005041771575808525
